size,mflop
31,16911.3
32,19604.3
96,47045.9
97,42889.9
127,52069.3
128,56729.5
129,54185.7
191,59322.5
192,65097.3
229,62547.4
255,64764.2
256,69196.9
257,67787.7
319,69086.8
320,72060.4
321,67635.5
417,69065.3
479,48424.5
480,68373.9
511,67947.4
512,67927.9
639,66612.8
640,71243.4
767,59702.4
768,72794.4
769,70780.8
1023,71295.6
1024,72916.5
1025,71099.3
1525,69944.1
1526,70355.3
1527,70035.9
