size,mflop
16,3131.19
20,3120.54
29,2862.62
30,2844.62
31,2823.3
32,2794.5
63,2529
64,2496.96
65,2522.58
66,2518.98
96,2199.59
97,2195.65
127,2046.9
128,1980.48
129,2039.16
