size,mflop
16,2673.33
20,2771.24
29,2788.01
30,2738.28
31,2768.15
32,2818.47
63,2933.9
64,2894.5
65,2877.22
66,2900.51
96,2838.38
97,2898.29
127,2874.58
128,2875.28
129,2895.21
